PWM (µs),RPM,Current (A),Voltage (V),Power (W),Force (Kg f),Force (N),Efficiency (g/W)
1716,2293,5.7,18,102.6,2.17,21.31,21.2
1720,2330,5.97,18,107.5,2.22,21.75,20.6
1724,2351,6.25,18,112.5,2.28,22.37,20.3
1728,2402,6.55,18,117.9,2.36,23.18,20.0
1732,2443,6.87,18,123.7,2.43,23.84,19.7
1736,2474,7.28,18,131.0,2.50,24.55,19.1
1740,2513,7.64,18,137.5,2.59,25.35,18.8
1744,2546,8,18,144.0,2.64,25.93,18.4
1748,2577,8.4,18,151.2,2.74,26.91,18.1
1752,2602,8.8,18,158.4,2.79,27.40,17.6
1756,2627,9.15,18,164.7,2.87,28.11,17.4
1760,2670,9.48,18,170.6,2.93,28.69,17.1
1764,2695,9.9,18,178.2,3.01,29.54,16.9
1768,2731,10.2,18,183.6,3.10,30.43,16.9
1772,2766,10.53,18,189.5,3.15,30.87,16.6
1776,2809,10.81,18,194.6,3.21,31.45,16.5
1780,2823,11.18,18,201.2,3.27,32.03,16.2
1784,2850,11.58,18,208.4,3.39,33.27,16.3
1788,2894,11.88,18,213.8,3.46,33.90,16.2
1792,2914,12.29,18,221.2,3.54,34.70,16.0
1796,2960,12.59,18,226.6,3.63,35.59,16.0
1800,2985,13.12,18,236.2,3.72,36.52,15.8
1804,3026,13.5,18,243.0,3.79,37.19,15.6
1808,3055,14.04,18,252.7,3.92,38.48,15.5
1812,3089,14.49,18,260.8,4.02,39.41,15.4
1816,3124,15.09,18,271.6,4.14,40.61,15.2
1820,3180,15.55,18,279.9,4.21,41.28,15.0
1824,3222,16.14,18,290.5,4.32,42.35,14.9
1828,3265,16.66,18,299.9,4.41,43.24,14.7
1832,3283,17.32,18,311.8,4.54,44.48,14.5
1836,3324,17.89,18,322.0,4.67,45.77,14.5
1840,3375,18.45,18,332.1,4.69,46.04,14.1
1844,3391,19.27,18,346.9,4.86,47.68,14.0
1848,3417,19.72,18,355.0,4.92,48.22,13.9
1852,3446,20.38,18,366.8,5.02,49.20,13.7
1856,3482,21.03,18,378.5,5.12,50.22,13.5
1860,3513,21.6,18,388.8,5.21,51.07,13.4
1864,3542,22.29,18,401.2,5.29,51.91,13.2
1868,3572,22.87,18,411.7,5.38,52.80,13.1
1872,3597,23.55,18,423.9,5.50,53.91,13.0
1876,3619,24.23,18,436.1,5.60,54.89,12.8
1880,3637,24.77,18,445.9,5.67,55.56,12.7
1884,3653,25.48,18,458.6,5.77,56.58,12.6
1888,3687,26.04,18,468.7,5.82,57.12,12.4
1892,3711,26.74,18,481.3,5.90,57.83,12.3
1896,3751,27.22,18,490.0,5.98,58.67,12.2
1900,3742,27.57,18,496.3,6.02,59.00,12.1
